"id,""note"",""commentaire"""
"457,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #6661] - Ref: 2274"""
"458,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #3772] - Ref: 3685"""
"459,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #8880] - Ref: 1603"""
"460,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #3083] - Ref: 6962"""
"461,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #8778] - Ref: 2"""
"462,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #4640] - Ref: 9122"""
"463,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #6868] - Ref: 5605"""
"464,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #420] - Ref: 661"""
"465,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #1495] - Ref: 6491"""
"466,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #6217] - Ref: 473"""
"467,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #6602] - Ref: 2890"""
"468,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #4356] - Ref: 3031"""
"469,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #1976] - Ref: 6485"""
"470,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #6814] - Ref: 3332"""
"471,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #8141] - Ref: 7206"""
"472,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #262] - Ref: 6036"""
"473,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #6890] - Ref: 8563"""
"474,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #3664] - Ref: 4707"""
"475,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #7649] - Ref: 7848"""
"476,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7255] - Ref: 5118"""
"477,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #3329] - Ref: 2047"""
"478,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #4880] - Ref: 4879"""
"479,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #4415] - Ref: 8257"""
"480,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #7435] - Ref: 6649"""
"481,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3931] - Ref: 8474"""
"482,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #7348] - Ref: 2421"""
"483,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #4948] - Ref: 6687"""
"484,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #2696] - Ref: 6170"""
"485,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #8638] - Ref: 791"""
"486,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #5101] - Ref: 5445"""
"487,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #9590] - Ref: 4854"""
"488,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #2651] - Ref: 7936"""
"489,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #4485] - Ref: 5119"""
"490,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4471] - Ref: 1788"""
"491,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #8901] - Ref: 3581"""
"492,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1093] - Ref: 2541"""
"493,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #8762] - Ref: 1961"""
"494,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #531] - Ref: 2186"""
"495,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #6369] - Ref: 5046"""
"496,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #253] - Ref: 8674"""
"497,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #2157] - Ref: 8234"""
"498,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #28] - Ref: 5145"""
"499,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #3671] - Ref: 1026"""
"500,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #8271] - Ref: 9696"""
"501,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #341] - Ref: 5399"""
"502,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6892] - Ref: 7911"""
"503,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3438] - Ref: 3358"""
"504,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #6515] - Ref: 3059"""
"505,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #2261] - Ref: 5218"""
"506,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #1761] - Ref: 6915"""
"507,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #2024] - Ref: 8923"""
"508,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #4834] - Ref: 3871"""
"509,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #8102] - Ref: 2585"""
"510,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #6006] - Ref: 1311"""
"511,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #5727] - Ref: 8801"""
"512,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #616] - Ref: 71"""
"513,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible."""
"514,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous."""
"515,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule."""
"516,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information."""
"517,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide."""
"518,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente."""
"519,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe."""
"520,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel."""
"521,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant."""
"522,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel."""
"523,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable."""
"524,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa."""
"525,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide."""
"526,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital."""
"527,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité."""
"528,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée."""
"529,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689]"""
"530,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755]"""
"531,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709]"""
"532,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281]"""
"533,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279]"""
"534,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551]"""
"535,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920]"""
"536,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949]"""
"537,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983]"""
"538,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068]"""
"539,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392]"""
"540,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755]"""
"541,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599]"""
"542,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732]"""
"543,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865]"""
"544,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129]"""
"545,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052"""
"546,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871"""
"547,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199"""
"548,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382"""
"549,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315"""
"550,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427"""
"551,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193"""
"552,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685"""
"553,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846"""
"554,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176"""
"555,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341"""
"556,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180"""
"557,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875"""
"558,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836"""
"559,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554"""
"560,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266"""
"561,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666"""
"562,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534"""
"563,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671"""
"564,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754"""
"565,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759"""
"566,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532"""
"567,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385"""
"568,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329"""
"569,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489"""
"570,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461"""
"571,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839"""
"572,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813"""
"573,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546"""
"574,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291"""
"575,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817"""
"576,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213"""
"577,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible."""
"578,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous."""
"579,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule."""
"580,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information."""
"581,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide."""
"582,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente."""
"583,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe."""
"584,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel."""
"585,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant."""
"586,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel."""
"587,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable."""
"588,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa."""
"589,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide."""
"590,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital."""
"591,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité."""
"592,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée."""
"593,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689]"""
"594,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755]"""
"595,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709]"""
"596,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281]"""
"597,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279]"""
"598,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551]"""
"599,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920]"""
"600,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949]"""
"601,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983]"""
"602,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068]"""
"603,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392]"""
"604,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755]"""
"605,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599]"""
"606,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732]"""
"607,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865]"""
"608,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129]"""
"609,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052"""
"610,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871"""
"611,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199"""
"612,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382"""
"613,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315"""
"614,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427"""
"615,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193"""
"616,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685"""
"617,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846"""
"618,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176"""
"619,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341"""
"620,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180"""
"621,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875"""
"622,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836"""
"623,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554"""
"624,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266"""
"625,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666"""
"626,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534"""
"627,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671"""
"628,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754"""
"629,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759"""
"630,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532"""
"631,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385"""
"632,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329"""
"633,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489"""
"634,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461"""
"635,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839"""
"636,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813"""
"637,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546"""
"638,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291"""
"639,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817"""
"640,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213"""
"641,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #5886]"""
"642,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #345]"""
"643,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4066]"""
"644,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #9296]"""
"645,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #4282]"""
"646,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3521]"""
"647,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #4761]"""
"648,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #3242]"""
"649,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #1930]"""
"650,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #9922]"""
"651,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #3822]"""
"652,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #9342]"""
"653,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #5245]"""
"654,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #8200]"""
"655,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #5268]"""
"656,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #1737]"""
"657,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #2882]"""
"658,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #9199]"""
"659,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #7348]"""
"660,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #9146]"""
"661,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #3686]"""
"662,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #991]"""
"663,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #3900]"""
"664,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #6526]"""
"665,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #932]"""
"666,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #5082]"""
"667,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #2614]"""
"668,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7824]"""
"669,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #1279]"""
"670,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #2922]"""
"671,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #774]"""
"672,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #5106]"""
"673,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3207]"""
"674,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #716]"""
"675,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #3961]"""
"676,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #7659]"""
"677,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #6410]"""
"678,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #9074]"""
"679,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #6139]"""
"680,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #3474]"""
"681,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #8953]"""
"682,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4345]"""
"683,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #4865]"""
"684,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1293]"""
"685,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #1870]"""
"686,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #5472]"""
"687,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #1749]"""
"688,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #2329]"""
"689,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #6400]"""
"690,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #5015]"""
